id,name,category,description,unit,baseCost,laborHours
led_bulb_a19_100w,LED A19 Bulb 100W Equiv,Bulbs,LED A19 bulb 100W equivalent 1500 lumens,ea,5.50,0
led_bulb_br30,LED BR30 Flood,Bulbs,LED BR30 flood bulb 65W equivalent,ea,6.50,0
led_bulb_par38,LED PAR38 Flood,Bulbs,LED PAR38 outdoor flood 90W equivalent,ea,12.00,0
cfl_bulb_23w,23W CFL Bulb,Bulbs,23W compact fluorescent bulb 100W equivalent,ea,4.50,0
incand_60w,60W Incandescent,Bulbs,60W incandescent bulb standard,ea,0.85,0
t8_led_tube_4ft,4ft T8 LED Tube,Bulbs,4 foot T8 LED tube 18W 2200 lumens,ea,12.00,0
t8_fluor_tube_4ft,4ft T8 Fluorescent,Bulbs,4 foot T8 fluorescent tube 32W,ea,3.50,0
night_light_led,LED Night Light,Lighting,LED plugin night light dusk to dawn,ea,4.50,0.10
rope_light_led,LED Rope Light Kit,Lighting,LED rope light kit 16ft with controller,ea,35.00,0.60
strip_light_led_5m,LED Strip Light 5m,Lighting,LED strip light 5 meter roll with power,ea,28.00,1.20
track_light_head,Track Light Head,Lighting,Adjustable track lighting head fixture,ea,22.00,0.30
track_light_8ft,8ft Track Rail,Lighting,8 foot track lighting rail kit,ea,58.00,1.50
pendant_track,Track Pendant Adapter,Lighting,Pendant light track adapter,ea,18.00,0.25
recessed_trim_white,4 Inch Recessed Trim,Lighting,4 inch recessed light baffle trim white,ea,6.50,0.15
recessed_trim_gimbal,4 Inch Gimbal Trim,Lighting,4 inch adjustable gimbal trim,ea,12.00,0.15
step_light_led,LED Step Light,Lighting,LED recessed step light fixture,ea,32.00,0.80
well_light_led,LED Well Light,Lighting,LED in-ground well light bronze,ea,48.00,1.20
path_light_led,LED Path Light,Lighting,LED landscape path light fixture,ea,38.00,0.60
spot_light_12v,12V MR16 Spot Light,Lighting,12V MR16 halogen spot light fixture,ea,18.00,0.40
transformer_12v_60w,60W 12V Transformer,Transformers,60W 12V low voltage transformer,ea,28.00,0.35
transformer_12v_300w,300W 12V Transformer,Transformers,300W 12V landscape lighting transformer,ea,85.00,0.75
gfi_cord_15ft,15ft GFCI Extension Cord,Cord,15ft GFCI protected extension cord 12 AWG,ea,42.00,0
ext_cord_25ft_12g,25ft Extension Cord 12/3,Cord,25ft outdoor extension cord 12 AWG SJTW,ea,28.00,0
ext_cord_50ft_12g,50ft Extension Cord 12/3,Cord,50ft outdoor extension cord 12 AWG SJTW,ea,48.00,0
ext_cord_100ft_12g,100ft Extension Cord 12/3,Cord,100ft outdoor extension cord 12 AWG SJTW,ea,85.00,0
power_strip_6out,6-Outlet Power Strip,Accessories,6-outlet surge protector power strip,ea,18.00,0
power_strip_surge,Surge Protector 12-Out,Accessories,12-outlet surge protector with USB,ea,32.00,0
junction_splice,In-Line Splice Kit,Accessories,Waterproof in-line wire splice kit,ea,8.50,0
heat_shrink_kit,Heat Shrink Kit,Accessories,Heat shrink tubing assortment kit,ea,22.00,0
conduit_bender_half,1/2 EMT Bender,Tools,1/2 inch EMT hand bender,ea,35.00,0
conduit_bender_three_quarter,3/4 EMT Bender,Tools,3/4 inch EMT hand bender,ea,42.00,0
knockout_punch_half,1/2 Knockout Punch,Tools,1/2 inch knockout punch set,ea,48.00,0
hole_saw_2_5,2-1/2 Inch Hole Saw,Tools,2-1/2 inch bi-metal hole saw with arbor,ea,18.00,0
hole_saw_4,4 Inch Hole Saw,Tools,4 inch bi-metal hole saw with arbor,ea,28.00,0
wire_stripper,Wire Stripper Tool,Tools,Professional wire stripper 10-18 AWG,ea,22.00,0
multi_tool_elect,Electrician Multi-Tool,Tools,Electrician multi-tool with crimper,ea,35.00,0
voltage_tester,Non-Contact Voltage Tester,Tools,Non-contact voltage detector pen,ea,18.00,0
multimeter_digital,Digital Multimeter,Tools,Digital multimeter auto-ranging,ea,48.00,0
circuit_finder,Circuit Breaker Finder,Tools,Circuit breaker finder and tracer tool,ea,65.00,0
stud_finder,Stud Finder Tool,Tools,Electronic stud finder wall scanner,ea,28.00,0
level_torpedo,Torpedo Level 9 Inch,Tools,9 inch magnetic torpedo level,ea,12.00,0
drill_bit_set,Drill Bit Set,Tools,Drill bit set 1/16 to 1/2 inch 29 piece,ea,32.00,0
spade_bit_set,Spade Bit Set,Tools,Spade bit set 3/8 to 1-1/2 inch 6 piece,ea,22.00,0
step_bit,Step Drill Bit,Tools,Step drill bit 1/4 to 3/4 inch,ea,18.00,0
paddle_bit_1,1 Inch Paddle Bit,Tools,1 inch wood paddle bit,ea,8.50,0
auger_bit_3_4,3/4 Inch Auger Bit,Tools,3/4 inch x 18 inch auger bit,ea,22.00,0
conduit_reamer,Conduit Reamer,Tools,Ratcheting conduit reamer 1/2 to 2 inch,ea,35.00,0
tube_cutter,Tubing Cutter,Tools,Tubing cutter for EMT 1/8 to 1-1/8 inch,ea,28.00,0
utility_knife,Utility Knife,Tools,Retractable utility knife with blades,ea,8.50,0
tape_measure_25ft,25ft Tape Measure,Tools,25 foot tape measure with lock,ea,15.00,0
tool_bag_elect,Electrician Tool Bag,Tools,Heavy duty electrician tool bag canvas,ea,48.00,0
tool_belt,Electrician Tool Belt,Tools,Leather electrician tool belt pouch,ea,85.00,0
headlamp_led,LED Headlamp,Tools,Rechargeable LED headlamp 500 lumens,ea,28.00,0
flashlight_led,LED Flashlight,Tools,Tactical LED flashlight 1000 lumens,ea,22.00,0
hardhat_white,White Hard Hat,Safety,Class E hard hat white ANSI approved,ea,18.00,0
safety_glasses,Safety Glasses Clear,Safety,ANSI Z87 safety glasses clear lens,ea,5.50,0
work_gloves,Work Gloves L,Safety,Electrician work gloves leather palm large,pr,12.00,0
knee_pads,Knee Pads,Safety,Professional knee pads with straps,pr,28.00,0
ear_plugs,Foam Ear Plugs,Safety,Disposable foam ear plugs 10 pair,pk,4.50,0
dust_mask,Dust Mask N95,Safety,N95 disposable dust mask 10 pack,pk,18.00,0
first_aid_kit,First Aid Kit,Safety,Portable first aid kit OSHA compliant,ea,32.00,0
fire_ext_5lb,5lb Fire Extinguisher,Safety,5 lb ABC fire extinguisher with bracket,ea,48.00,0.60
ladder_6ft,6ft Step Ladder,Tools,6 foot fiberglass step ladder Type IA,ea,145.00,0
ladder_ext_24ft,24ft Extension Ladder,Tools,24 foot fiberglass extension ladder,ea,285.00,0
cart_platform,Platform Cart,Tools,Platform utility cart 500lb capacity,ea,95.00,0
dolly_hand,Hand Truck Dolly,Tools,Hand truck dolly 600lb capacity,ea,85.00,0
breaker_lockout,Breaker Lockout Device,Safety,Circuit breaker lockout device kit,ea,22.00,0
panel_lockout,Panel Lockout Kit,Safety,Electrical panel lockout tagout kit,ea,48.00,0
glow_stick,Glow Sticks Chemical,Safety,Chemical light sticks 6 inch 10 pack,pk,8.50,0
caution_tape,Caution Tape Roll,Safety,Yellow caution tape 3 inch x 1000ft,ea,12.00,0
traffic_cone_28,28 Inch Traffic Cone,Safety,28 inch traffic safety cone orange,ea,22.00,0
barricade_tape,Barricade Tape,Safety,Reflective barricade tape roll,ea,18.00,0
cable_protector,Cable Protector Ramp,Safety,Rubber cable protector ramp 2 channel,ea,65.00,0
warning_sign,Electrical Warning Sign,Safety,Electrical hazard warning sign OSHA,ea,12.00,0
arc_flash_label,Arc Flash Label,Safety,Arc flash warning label NFPA 70E,ea,3.50,0
wire_id_tag,Wire Identification Tags,Accessories,Plastic wire ID tags assorted pack 100,pk,12.00,0
cable_marker,Cable Marker Clips,Accessories,Cable marker clips numbered 0-9 100 pack,pk,18.00,0
velcro_cable_tie,Velcro Cable Ties,Accessories,Reusable velcro cable ties 8 inch 50 pack,pk,15.00,0
spiral_wrap,Spiral Cable Wrap,Accessories,Spiral cable wrap 1/2 inch x 25ft,ea,12.00,0
cord_reel,Extension Cord Reel,Accessories,Retractable extension cord reel 30ft,ea,58.00,0
junction_pull,Junction Box Pull Elbow,Fittings,PVC junction box pull elbow LB style,ea,8.50,0.12
conduit_clip_half,1/2 Conduit Clip,Fasteners,1/2 inch plastic conduit clip,ea,0.15,0.01
conduit_clip_three_quarter,3/4 Conduit Clip,Fasteners,3/4 inch plastic conduit clip,ea,0.22,0.01
j_hook_cable,J-Hook Cable Support,Fasteners,J-hook cable support hanger,ea,1.85,0.03
bridle_ring,Bridle Ring 4 Inch,Fasteners,4 inch cable support bridle ring,ea,2.45,0.03
madison_clip,Madison Strap Clip,Fasteners,Madison strap hold-down clip,ea,0.35,0.02
plaster_washer,Plaster Washer,Fasteners,Domed plaster washers 100 pack,pk,4.50,0
all_thread_half,1/2 All Thread Rod 10ft,Fasteners,1/2 inch threaded rod 10 foot,ea,12.00,0.02
unistrut_10ft,Unistrut Channel 10ft,Fasteners,Unistrut P1000 channel 10 foot,ea,28.00,0.05
unistrut_connector,Unistrut Connector,Fasteners,Unistrut channel connector fitting,ea,3.25,0.03
spring_nut_3_8,3/8 Spring Nut Unistrut,Fasteners,3/8 inch spring nut for unistrut,ea,0.65,0.01
beam_clamp_adj,Adjustable Beam Clamp,Fasteners,Adjustable beam clamp for rod,ea,8.50,0.05
concrete_anchor_3_8,3/8 Concrete Anchors,Fasteners,3/8 x 3-3/4 inch concrete wedge anchor,ea,1.25,0.05
hammer_drill_bit_3_8,3/8 Hammer Drill Bit,Tools,3/8 inch masonry hammer drill bit,ea,12.00,0
sds_bit_3_8,3/8 SDS Plus Bit,Tools,3/8 inch SDS plus masonry bit,ea,15.00,0
