assembly_name,assembly_category,assembly_description,component_material_id,component_quantity,component_quantity_type,component_description
"1"" EMT with 4-#8 THHN",Conduit & Wire,"Complete 1"" EMT with 4 #8 THHN conductors",emt_connector_1,0.2,per_foot,"Connectors (1 per 5ft)"
"1"" EMT with 4-#8 THHN",Conduit & Wire,"Complete 1"" EMT with 4 #8 THHN conductors",emt_strap1_1,0.33,per_foot,"Straps (1 per 3ft)"
"1-1/4"" EMT with 3-#6 THHN",Conduit & Wire,"Complete 1-1/4"" EMT with 3 #6 THHN conductors",emt_1_25,1,per_foot,"1-1/4"" EMT conduit"
"1-1/4"" EMT with 3-#6 THHN",Conduit & Wire,"Complete 1-1/4"" EMT with 3 #6 THHN conductors",thhn_6,3,per_foot,"#6 THHN wire"
"1-1/4"" EMT with 3-#6 THHN",Conduit & Wire,"Complete 1-1/4"" EMT with 3 #6 THHN conductors",grn_6,1,per_foot,"#6 Green ground wire"
"1-1/4"" EMT with 3-#6 THHN",Conduit & Wire,"Complete 1-1/4"" EMT with 3 #6 THHN conductors",emt_connector_1_25,0.2,per_foot,"Connectors (1 per 5ft)"
"1-1/4"" EMT with 3-#6 THHN",Conduit & Wire,"Complete 1-1/4"" EMT with 3 #6 THHN conductors",emt_strap1_1_25,0.33,per_foot,"Straps (1 per 3ft)"
"1-1/2"" EMT with 4-#6 THHN",Conduit & Wire,"Complete 1-1/2"" EMT with 4 #6 THHN conductors",emt_1_5,1,per_foot,"1-1/2"" EMT conduit"
"1-1/2"" EMT with 4-#6 THHN",Conduit & Wire,"Complete 1-1/2"" EMT with 4 #6 THHN conductors",thhn_6,4,per_foot,"#6 THHN wire"
"1-1/2"" EMT with 4-#6 THHN",Conduit & Wire,"Complete 1-1/2"" EMT with 4 #6 THHN conductors",grn_6,1,per_foot,"#6 Green ground wire"
"1-1/2"" EMT with 4-#6 THHN",Conduit & Wire,"Complete 1-1/2"" EMT with 4 #6 THHN conductors",emt_connector_1_5,0.2,per_foot,"Connectors (1 per 5ft)"
"1-1/2"" EMT with 4-#6 THHN",Conduit & Wire,"Complete 1-1/2"" EMT with 4 #6 THHN conductors",emt_strap1_1_5,0.33,per_foot,"Straps (1 per 3ft)"
"2"" EMT with 3-#2 THHN",Conduit & Wire,"Complete 2"" EMT with 3 #2 THHN conductors",emt_2,1,per_foot,"2"" EMT conduit"
"2"" EMT with 3-#2 THHN",Conduit & Wire,"Complete 2"" EMT with 3 #2 THHN conductors",thhn_2,3,per_foot,"#2 THHN wire"
"2"" EMT with 3-#2 THHN",Conduit & Wire,"Complete 2"" EMT with 3 #2 THHN conductors",grn_2,1,per_foot,"#2 Green ground wire"
"2"" EMT with 3-#2 THHN",Conduit & Wire,"Complete 2"" EMT with 3 #2 THHN conductors",emt_connector_2,0.2,per_foot,"Connectors (1 per 5ft)"
"2"" EMT with 3-#2 THHN",Conduit & Wire,"Complete 2"" EMT with 3 #2 THHN conductors",emt_strap1_2,0.33,per_foot,"Straps (1 per 3ft)"
"2"" EMT with 4-#1 THHN",Conduit & Wire,"Complete 2"" EMT with 4 #1 THHN conductors",emt_2,1,per_foot,"2"" EMT conduit"
"2"" EMT with 4-#1 THHN",Conduit & Wire,"Complete 2"" EMT with 4 #1 THHN conductors",thhn_1,4,per_foot,"#1 THHN wire"
"2"" EMT with 4-#1 THHN",Conduit & Wire,"Complete 2"" EMT with 4 #1 THHN conductors",grn_1_0,1,per_foot,"1/0 Green ground wire"
"2"" EMT with 4-#1 THHN",Conduit & Wire,"Complete 2"" EMT with 4 #1 THHN conductors",emt_connector_2,0.2,per_foot,"Connectors (1 per 5ft)"
"2"" EMT with 4-#1 THHN",Conduit & Wire,"Complete 2"" EMT with 4 #1 THHN conductors",emt_strap1_2,0.33,per_foot,"Straps (1 per 3ft)"
"2-1/2"" EMT with 3-#1/0 THHN",Conduit & Wire,"Complete 2-1/2"" EMT with 3 1/0 THHN conductors",emt_2_5,1,per_foot,"2-1/2"" EMT conduit"
"2-1/2"" EMT with 3-#1/0 THHN",Conduit & Wire,"Complete 2-1/2"" EMT with 3 1/0 THHN conductors",thhn_1_0,3,per_foot,"1/0 THHN wire"
"2-1/2"" EMT with 3-#1/0 THHN",Conduit & Wire,"Complete 2-1/2"" EMT with 3 1/0 THHN conductors",grn_1_0,1,per_foot,"1/0 Green ground wire"
"2-1/2"" EMT with 3-#1/0 THHN",Conduit & Wire,"Complete 2-1/2"" EMT with 3 1/0 THHN conductors",emt_connector_2_5,0.2,per_foot,"Connectors (1 per 5ft)"
"2-1/2"" EMT with 3-#1/0 THHN",Conduit & Wire,"Complete 2-1/2"" EMT with 3 1/0 THHN conductors",emt_strap1_2_5,0.33,per_foot,"Straps (1 per 3ft)"
"3"" EMT with 4-#2/0 THHN",Conduit & Wire,"Complete 3"" EMT with 4 2/0 THHN conductors",emt_3,1,per_foot,"3"" EMT conduit"
"3"" EMT with 4-#2/0 THHN",Conduit & Wire,"Complete 3"" EMT with 4 2/0 THHN conductors",thhn_2_0,4,per_foot,"2/0 THHN wire"
"3"" EMT with 4-#2/0 THHN",Conduit & Wire,"Complete 3"" EMT with 4 2/0 THHN conductors",grn_2_0,1,per_foot,"2/0 Green ground wire"
"3"" EMT with 4-#2/0 THHN",Conduit & Wire,"Complete 3"" EMT with 4 2/0 THHN conductors",emt_connector_3,0.2,per_foot,"Connectors (1 per 5ft)"
"3"" EMT with 4-#2/0 THHN",Conduit & Wire,"Complete 3"" EMT with 4 2/0 THHN conductors",emt_strap1_3,0.33,per_foot,"Straps (1 per 3ft)"
